Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,GLDW LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,Dividend Indicated Yield
Dates,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD,DIVIDEND_INDICATED_YIELD
14/08/2020,4.1769,5.4859,3.1878,5.8833,3.4176,4.0132,2.5806,6.4367,5.4463,2.6846,0.5333,1.0019,2.2676,#N/A N/A,#N/A N/A,#N/A N/A,1.4889
21/08/2020,4.385,5.8732,3.1878,5.8833,3.4418,4.022,2.5635,6.5242,5.5407,2.6981,0.5328,1.0001,2.2623,#N/A N/A,#N/A N/A,#N/A N/A,1.5073
28/08/2020,4.4207,6.0766,3.1878,5.8833,3.4796,4.1838,2.5933,6.7157,5.7602,2.7846,0.5331,1.0141,2.272,#N/A N/A,#N/A N/A,#N/A N/A,1.5174
04/09/2020,4.5379,6.2348,3.1878,5.8833,3.5064,4.24,2.7137,6.8878,5.8279,2.7991,0.5328,1.0037,2.2617,#N/A N/A,#N/A N/A,#N/A N/A,1.5587
11/09/2020,4.5162,6.1265,3.1878,5.8833,3.2118,4.144,2.5659,6.4874,5.686,2.655,0.5318,0.9931,2.2137,#N/A N/A,#N/A N/A,#N/A N/A,1.4998
18/09/2020,4.7292,6.5329,3.1878,5.8833,3.2741,4.1667,2.4729,6.4797,5.7262,2.7207,0.532,0.9932,2.2216,#N/A N/A,#N/A N/A,#N/A N/A,3.6981
25/09/2020,4.8694,6.8815,3.1878,5.8833,3.2583,4.2361,2.522,6.7047,5.6834,2.7714,0.5324,1.2274,2.2386,#N/A N/A,#N/A N/A,#N/A N/A,3.8479
02/10/2020,5.2436,7.4881,3.1878,5.8833,3.2051,4.3571,2.5653,6.843,5.2417,2.6045,0.533,1.242,2.2412,#N/A N/A,#N/A N/A,#N/A N/A,3.8057
09/10/2020,4.8139,7.2285,3.1878,5.8833,3.2018,4.4171,2.5675,6.8307,5.1947,2.5891,0.5331,1.2457,2.2386,#N/A N/A,#N/A N/A,#N/A N/A,3.7337
16/10/2020,5.0244,7.6669,3.1878,5.8833,3.1893,4.5264,2.6321,7.011,5.144,2.6325,0.5326,0.9674,2.2204,#N/A N/A,#N/A N/A,#N/A N/A,3.789
23/10/2020,5.0348,7.8124,3.1878,5.8833,3.3491,4.5306,2.7229,7.3563,5.1397,2.6586,0.5332,0.9844,2.2246,#N/A N/A,#N/A N/A,#N/A N/A,3.8322
