Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
13/03/2020,1130.6,276.3,102.38,465.85,4133.117,278.793,6316,1419.057,798.369,2442,134.68,25.17,140.86,2405,5366.11,0.413,23.97
20/03/2020,1062.2,251.7,89.02,500,4437.645,276.64,6891,1465.792,814.143,2427.5,134.08,25.54125,135.95,2480,5190.78,0.562,23.05
27/03/2020,1282.8,305.5,97.37,466.55,4215.683,294.627,6805,1459.723,869.446,2512.5,134.355,25.98625,141.345,2560,5510.33,0.367,24.2825
03/04/2020,1471,337.3,80.24,397.2,4328.808,283.607,7144,1506.66,781.11,2458,134.29,25.9125,146.37,2582,5415.5,0.311,23.795
10/04/2020,1509.6,335.75,97.58,428.85,4422.097,293.867,7121,1562.095,842.722,2633,134.53,26.32625,150.365,2636,5842.66,0.306,25.7
17/04/2020,1370.2,303.55,90.71,414.35,4412.447,301.593,7970,1679.844,839.011,2711,134.4,26.24,151.56,2650,5786.96,0.304,25.475
24/04/2020,1379.2,308.6,88.61,402.15,4387.784,299.06,8204,1707.157,871.487,2655,134.36,26.49625,150.91,2718,5752.23,0.291,25.345
01/05/2020,1231.6,298.85,102.74,402.45,4395.29,299.313,8202,1629.872,862.951,2765.5,134.505,26.54375,152.11,2645.5,5763.06,0.248,25.42
08/05/2020,1320.6,315.9,105.42,412.7,4378.133,300.58,8559,1694.007,854.785,2778,134.59,26.68375,150.755,2704.5,5935.98,0.235,26.22
15/05/2020,1228,296.5,97.45,399.7,4429.603,304,8671,1666.896,850.702,2743,134.59,26.46,150.1,2813,5799.77,0.231,25.6175
